Date,Type,Dead,Injured,Location,Details,Perpetrator,Part of
13,Bombing,1,4,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Yusufiyah, Iraq","Terrorist kills at least 1, leaves 4 more injured.[69]",Islamic State,Iraqi Civil War
14,Stabbing,1,2,"&lt;img alt=""Israel"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/21px-Flag_of_Israel.svg.png"" width=""21"" height=""15"" class=""thumbborder"" data-file-width=""660"" data-file-height=""480""&gt; Jerusalem, Israel",2017 Jerusalem Light Rail stabbing: A Palestinian terrorist stabbed a British student in the Jerusalem Light Rail near to the Tzahal square and killed her.[70],Palestinian Nationalist,Israeli–Palestinian conflict
14,Bombing,2,0,"&lt;img alt=""Turkey"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/23px-Flag_of_Turkey.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Van, Turkey",One soldier and one village guard were killed when an IED exploded while conducting road checks.[71],PKK (suspected),Kurdish–Turkish conflict
14,Shooting,1,1,"&lt;img alt=""Colombia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/23px-Flag_of_Colombia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Cauca, Colombia","One soldier was killed and another wounded in an ELN guerrilla attack on a military patrol in a rural area of the department of Cauca, southern Colombia, the army said in a statement on Friday.[72]",ELN,Colombian Conflict
15,Suicide car bombing,126,100+,"&lt;img alt=""Syria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/23px-Flag_of_Syria.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Aleppo, Syria","2017 Aleppo suicide car bombing:A strong explosion occurred in a district of Aleppo. According to provisional data, a motor bomb had exploded. The blast killed more than 126 people.[73]",Khalid ibn al-Walid Army (suspected),Syrian Civil War
15,Bombing,1,1,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Abu Sayda, Iraq",A bomb kills one and another were injured.[74],Islamic State,Iraqi Civil War
15,Shooting,1,1,"&lt;img alt=""India"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1350"" data-file-height=""900""&gt; Pulwama, India",A worker of a local party was killed and another injured after unidentified suspected militants stormed the former’s home in Pulwama district of Jammu and Kashmir on Saturday night and opened fire.[75],Jaish-e-Mohammed (suspected),Kashmir Conflict
16,Execution,1,0,"&lt;img alt=""Philippines"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/23px-Flag_of_the_Philippines.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""900"" data-file-height=""450""&gt; Philippines","A man, who was kidnapped by Abu Sayyaf, was executed by his captors.[76]",Abu Sayyaf,Moro Conflict
16,Shooting,1,0,"&lt;img alt=""Turkey"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/23px-Flag_of_Turkey.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Muradiye Turkey",PKK insurgents kills one village guard in Turkey.[77],PKK,Kurdish–Turkish conflict
16,Shooting,2,Unknown,"&lt;img alt=""Turkey"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/23px-Flag_of_Turkey.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Muradiye, Turkey","Motorcade of AK Party district chairman Ibrahim Vanli attacked by PKK militants in Muradiye district of Van; Vanli's nephew Adnan, who was also a guard were killed.[78]",PKK,Kurdish–Turkish conflict
18,Shooting,4,16,"&lt;img alt=""Mali"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/23px-Flag_of_Mali.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Gourma-Rharous, Mali",Four malian soldiers were killed when terrorists attacked their base. Sixteen other soldiers were also injured.[79],Islamists (suspected),Northern Mali conflict
18,Landmine,0,3,"&lt;img alt=""Mali"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/23px-Flag_of_Mali.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Tessalit, Mali",Two soldiers and one civilian were injured during an attack against their UN covoy.[79],Islamists (suspected),Northern Mali conflict
18,Bombing,16,Unknown,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Mosul, Iraq","A suicide car bombing killed at least 16 civilians in Mosul's al-Thawra district. The bomber attempted to target military units nearby, but having failed to breach security, detonated the vehicle in a nearby alley instead.[80]",Islamic State,Iraqi Civil War
18,Suicide bombing,1 (+1),4,"&lt;img alt=""Egypt"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; South Sinai Governorate, Egypt","A suicide bomber detonated at a checkpoint near a church in Southern Sinai, killing an officer and wounding four others.[81]",Islamic State (suspected),Sinai insurgency
13-18,Shooting,4,0,"&lt;img alt=""United States"" src=""//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""1235"" data-file-height=""650""&gt; Fresno, United States","A shooting spree occurred in Fresno, California, leaving three men dead. The prime suspect, identified as Kori Ali Muhammad, was then arrested by police and charged with murder and assault with a deadly weapon. Muhammad, who was believed to have been motivated by racial hatred directed towards white people, was already wanted in connection with the murder of a security guard at a local Motel 6 that had occurred five days earlier.[82][83]",Kori Ali Muhammad,Terrorism in the United States
19,Bombing,0,0,"&lt;img alt=""Greece"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/23px-Flag_of_Greece.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Athens, Greece","A small explosive device detonated outside a building housing Eurobank offices in central Athens, damaging its entrance and shattering windows, police said. No wounded were reported[84]",Conspiracy of Fire Nuclei,Terrorism in Greece
20,Shooting,1 (+1),3,"&lt;img alt=""France"" src=""//upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Paris, France","2017 shooting of Paris police officers: One police officer was killed, two other and a women injured in a shooting in the Champs-Élysées area of Paris. One of the two gunmen was killed in the attack. Islamic State claimed responsibility for the attack.[85]",Islamic State,Islamic terrorism in Europe
21,Shooting,256 (+10),160+,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Balkh Province, Afghanistan",2017 Camp Shaheen attack: Attack of military base by Taliban insurgents in northern Afghanistan killed 250 Afghan soldiers. More than 160 were also injured.[86],Taliban,War in Afghanistan
21,Shooting,2 (+1),1,"&lt;img alt=""Russia"" src=""//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Khabarovsk, Russia",Two people were killed in an attack in a Federal Security Service office in the Russian city of Khabarovsk. The gunman was also killed. The Russian Federal Security Service says the native 18-year-old perpetrator was a known member of a neo-nazi group.[87],Neo Nazi (suspected),Terrorism in Russia
21,Shooting,3 (+3),Unknown,"&lt;img alt=""Turkey"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/23px-Flag_of_Turkey.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Sirnak, Turkey","Three soldiers were martyred in a PKK attack in southeastern Sirnak province on Friday, according to officials. The office said earlier that at least three other militants were killed on Friday in Bestler-Dereler.[88]",PKK,Kurdish–Turkish conflict (2015–present)
23,Stabbing,0,4,"&lt;img alt=""Israel"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/21px-Flag_of_Israel.svg.png"" width=""21"" height=""15"" class=""thumbborder"" data-file-width=""660"" data-file-height=""480""&gt; Tel Aviv, Israel",Four people were lightly injured after being stabbed by an 18-year-old Palestinian at two different beach hotels on Tel Aviv's waterfront. Police at the scene confirmed that the attack was terror-related.[89],Palestinian Nationalist,Israeli–Palestinian conflict
23,Roadside bombing,8,3,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Galgala, Somalia",A roadside bomb in a remote town in Somalia's semi-autonomous state of Puntland killed 8 soldiers and injured 3 others. The attack was blamed by regional military officials on Islamic State-affiliated militants.[90],Islamic State in Somalia (suspected),War in Somalia
23,Ambush,10,20,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Ar-Rutbah, Iraq","Islamic State militants ambushed a convoy carrying soldiers, border guards and local police officers just outside of Ar-Rutbah, killing 10 and injuring 20 others.[91]",Islamic State,Iraqi Civil War
24,Stabbing,0,1,"Kalandia, West Bank",A female soldier was lightly wounded at the Kalandia checkpoint on the outskirts of Jerusalem.[92],Palestinian Nationalist,Israeli–Palestinian conflict
24,Ambush,25 (+3-4),7,"&lt;img alt=""India"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1350"" data-file-height=""900""&gt; Sukma, India","2017 Sukma attack: Suspected Maoist rebels ambushed a group of Central Reserve Police Force officers who were guarding road workers in the Sukma district of Chhattisgarh. At least 25 CRPF soldiers were killed and 7 others were critically injured in the attack, which was one of the deadliest in recent years. Maoists killed 11 soldiers in a similar ambush in the same district at the beginning of March.[93][94]",CPI (suspected),Naxalite–Maoist insurgency
24,Suicide bombing,4 (+1),6,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Khost, Afghanistan",A suicide attack happened outside a US base in eastern Afghanistan that has hosted CIA operatives who are hunting al Qaeda and other jihadists in the region. Four Afghan Special Force members were killed and six others were injured. Taliban claimed responsibility for the attack.[95],Taliban,War in Afghanistan
26,Bombings,7,1+,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Maiduguri, Nigeria",Two bombings blew up in the Nigerian city Maiduguri. Seven persons were killed.[96],Boko Haram,Boko Haram insurgency
25,Landmine,14,9,"&lt;img alt=""Pakistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/23px-Flag_of_Pakistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Parachinar, Pakistan","A van hit a landmine killing 14 passengers included children, and injuring 9 others, among them two census workers. Both Jamaat-ul-Ahrar and Islamic State claimed responsibility.[97][98]",Jamaat-ul-Ahrar (suspected),War in North-West Pakistan
25,Bombings,5,5,"&lt;img alt=""Turkey"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/23px-Flag_of_Turkey.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Southern Turkey","In the Uludere district of Şırnak province nearby the village of Andaç, which was detonated when security forces scanning the area were passing by. According to information obtained from security sources, two Turkish soldiers died and two more heavily wounded soldiers were transferred to the Şırnak State Hospital by helicopter.A trap that had been set in a patch in the Çemçe-Madur region caused the death of two soldiers and wounded one other. Another soldier was killed, and two others were injured during field scan activities near Sehi forest in eastern Bitlis province.[99]",PKK,Kurdish–Turkish conflict (2015–present)
25,Suicide bombings,4 (+3),13,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Borno, Nigeria",Four civilians were killed and 13 others were injured when three suicide bombers blew themself up.[100],Boko Haram,Boko Haram insurgency
26,Suicide bombings,2 (+3),11,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Maiduguri, Nigeria",A vigilante and a civilian were killed and 11 others were injured when three suicide bombers blew themself up.[96],Boko Haram,Boko Haram insurgency
26,Shooting,9,2,"&lt;img alt=""Iran"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/23px-Flag_of_Iran.svg.png"" width=""23"" height=""13"" class=""thumbborder"" data-file-width=""630"" data-file-height=""360""&gt; Mirjaveh County, Iran",Nine Iranian border guards were killed and two others were injured while patrolling at the Iran-Pakistan border. Jaish ul-Adl claimed responsibility for the attack.[101],Jaish ul-Adl (suspected),Sistan and Baluchestan insurgency
27,Suicide bombing,4 (+1),1+,"&lt;img alt=""Egypt"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Rafah, Egypt",An Islamic State suicide bomber killed four members of a Bedouin tribe and wounded others in Rafah.[102],Islamic State,Insurgency in Egypt
27,Bombing,0,0,"&lt;img alt=""Colombia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/23px-Flag_of_Colombia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Norte de Santander Department, Colombia","ELN guerrillas detonated a bomb in a pipeline of limon pipe in the municipality of El Carmen, Norte de Santander.[103][104]",ELN (suspected),Colombian conflict
27,Shooting,1,0,"&lt;img alt=""Paraguay"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Paraguay.svg/23px-Flag_of_Paraguay.svg.png"" width=""23"" height=""13"" class=""thumbborder"" data-file-width=""600"" data-file-height=""330""&gt; Concepción Paraguay",Militants of Paraguayan People's Army they shot a security guard in the department of Concepción.[105][106],EPP,Paraguayan People's Army insurgency
28,Suicide bombing,5 (+1),40,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Kano, Nigeria",At least five soldiers were killed and another 40 injured when a Boko Haram extremist blew himself up.[107],Boko Haram,Boko Haram insurgency
28,Suicide car bombing,4 (+1),6,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Baghdad, Iraq",A suicide car bomb attack on a traffic police compound in central Baghdad Friday killed at least four people and wounded six.[108],Islamic State,Iraqi Civil War (2014–present)
29,Arson,1 (+1),0 (+2),"&lt;img alt=""Philippines"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/23px-Flag_of_the_Philippines.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""900"" data-file-height=""450""&gt; Davao City, Philippines","A suspected member of the New People's Army was killed while two others were injured in separate attacks here on Saturday. Communist rebels attacked the Lapanday Foods Corp, torching equipment and disarming security guards. The attack killed a fish vendor.[109][110]",New People's Army,CPP-NPA-NDF rebellion
