Date,Type,Dead,Injured,Location,Details,Perpetrator,Part of
21,Attempted Suicide Bombing,0 (+2),0,"&lt;img alt=""Cameroon"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/23px-Flag_of_Cameroon.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Kolofata, Cameroon",One terrorist was shot dead while the other blew herself up killing no one else. It was not clear whether the attackers were males or females.[71],Boko Haram (suspected),Boko Haram insurgency
21,Suicide car bombing,7 (+1),14,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Helmand Province, Afghanistan","A suicide car bomb targeted a checkpoint in Afghanistan’s Helmand province, killing at least six members of an intelligence unit.[72][73]",Taliban,War in Afghanistan
21,Car bombing,4,Several,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Mogadishu, Somalia",At least four people were killed when a car bomb exploded at a checkpoint less than a kilometre away from the presidential compound in Mogadishu.[74],Al-Shabaab,War in Somalia
21,Bombing,0,0,"&lt;img alt=""United Kingdom"" src=""//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""600""&gt; Strabane, Northern Ireland","A bomb exploded in the town of Strabane, Northern Ireland. The device detonated while Police Service of Northern Ireland officers were on patrol in the area. No one was killed or injured in the attack. Dissident Irish Republicans are being blamed for the attack.[75]",Real Irish Republican Army (suspected),Dissident Irish Republican campaign
21,Shooting,1,9,"&lt;img alt=""Philippines"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/23px-Flag_of_the_Philippines.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""900"" data-file-height=""450""&gt; Sultan Kudarat, Philippines","At least one marine was killed and other nine were wounded in a NPA ambush in Sultan Kudarat,Philippines.[76]",New People's Army,CPP–NPA–NDF rebellion
22,Shooting,1,4,"&lt;img alt=""Turkey"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/23px-Flag_of_Turkey.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Hakkari, Turkey",A Turkish soldier was killed and four others were wounded in an armed attack carried out by PKK militants at the Gerkitepe Base defense zone in the district of Çukurca in southeastern Hakkari province.[77],PKK,Kurdish–Turkish conflict (2015–present)
22,Shooting,0,Unknown,"&lt;img alt=""Ukraine"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Donetsk, Ukraine","In the city of Donetsk, a group of pro-Russian supporters attacked the headquarters of the local football team.[78]",Donetsk People's Republic,War in Donbass
22,Sucide bombings,8 (+5),20+,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Maiduguri, Nigeria",2017 Maiduguri attack: At least eight people have been killed in multiple suicide blasts along a highway in Maiduguri.[79],Boko Haram,Boko Haram insurgency
22,"Vehicle attack, stabbing",5 (+1),49,"&lt;img alt=""United Kingdom"" src=""//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""600""&gt; London, United Kingdom","2017 Westminster attack: 52 year old Khalid Masood drove into pedestrians on Westminster Bridge, killing four and causing numerous injuries before crashing the car into the railings of the Palace of Westminster. The attacker then fled from the vehicle and attempted to gain access through the Palace gates, fatally stabbing a police officer before being shot dead by a plain clothes police officer. In total there were 49 injuries reported, 30 of which required hospital treatment, 7 of which were critical.[80][81][82]",Khalid Masood,Islamic terrorism in the West
22,"Roadside Bombing, Shooting",3 (+5),Unknown,"&lt;img alt=""Pakistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/23px-Flag_of_Pakistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Orakzai, Pakistan","Military officials in Pakistan say a gunfight with militants killed two soldiers and five “terrorists” in a volatile northwestern region. Separately, a roadside bomb hit a security convoy, killing one person, near the Afghan border in the neighboring South Waziristan tribal district.[83]",Jamaat-ul-Ahrar (suspected),War in North-West Pakistan
23,Bombings,10 (+15),Unknown,"&lt;img alt=""Egypt"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Sinai, Egypt",Ten members of Egypt's security forces were killed when their vehicles were hit by two improvised bombs during a military operation against suspected militants in the Sinai peninsula. 15 militants were also killed.[84],Islamic State,Sinai Insurgency
23,"Shooting, assassination",1 (+1),1,"&lt;img alt=""Ukraine"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Kiev, Ukraine","Former Russian politician Denis Voronenkov was shot and killed in Kiev. His assailant was wounded by Voronenkov's bodyguard and taken to hospital, where he later died from his wounds, according to the authorities. Voronenko's bodyguard was also wounded during the incident.[85]",Lone wolf,War in Donbass
24,Car bombing,1,2,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Mogadishu, Somalia",A car bomb blast near a restaurant and hotel in Mogadishu has killed at least one person and wounded two others.[86],Al-Shabaab,War in Somalia
24,Attack,6 (+6),3,"&lt;img alt=""Russia"" src=""//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Naurskaya, Russia","A group of 8 jihadists attacked a military base of the National Guard of Russia near Grozny in Chechnya. During the assault, six soldiers were killed, as well as 6 terrorists.[87]",Islamic State,Islamic terrorism in Europe
24,Suicide bombing,0 (+1),0,"&lt;img alt=""Bangladesh"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/23px-Flag_of_Bangladesh.svg.png"" width=""23"" height=""14"" class=""thumbborder"" data-file-width=""500"" data-file-height=""300""&gt; Dhaka, Bangladesh",A suicide bomber blew himself up in the Shahjalal International Airport causing no injuries. Islamic State claims the attack.[88],Islamic State,Terrorism in Bangladesh
24,Shooting,0,2,"&lt;img alt=""Colombia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/23px-Flag_of_Colombia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Arauca, Colombia","Two wounded soldiers left in an attack apparently from ELN guerrillas in the department of Arauca. In an another operation the leader of an ELN front died next to his escort, inform the army.[89][90]",ELN,Colombian Conflict
25,Roadside Bombing,3,6,"&lt;img alt=""Egypt"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Arish, Egypt","Egyptian security officials said Saturday that a roadside bomb planted by suspected Islamic militants had hit a police armored vehicle in the north of the Sinai Peninsula, killing three members of the security forces and injuring six others.[91]",Islamic State,Sinai insurgency
25,"Shooting, Assassination",40+,2,"&lt;img alt=""Democratic Republic of the Congo"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/20px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png"" width=""20"" height=""15"" class=""thumbborder"" data-file-width=""800"" data-file-height=""600""&gt; Tshikapa, Democratic Republic of the Congo","2017 Congolese police decapitation attacks: Rebel fighters have killed at least 40 policemen in the central Democratic Republic of Congo, in one of the deadliest attacks on security forces since a violent uprising began late last year. The Kamwina Nsapu militia reportedly killed the police officers on Saturday and only spared those who spoke their local language.[92]",Kamwina Nsapu,Kamwina Nsapu rebellion
25,"Suicide bombing, bombings, shooting",7 (+4),40+,"&lt;img alt=""Bangladesh"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/23px-Flag_of_Bangladesh.svg.png"" width=""23"" height=""14"" class=""thumbborder"" data-file-width=""500"" data-file-height=""300""&gt; South Surma Upazila, Bangladesh","2017 South Surma Upazila bombings: A suicide bombing killed 7 (four civilians and three police officers) and wounded more than 40 in South Surma Upazila, Bangladesh. Later, other bombs exploded and gunfire have occurred. Islamic State claimed responsibility. Three militants were also killed.[93][94]",Islamic State,Terrorism in Bangladesh
25,Stabbing,1,0,"&lt;img alt=""United States"" src=""//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""1235"" data-file-height=""650""&gt; New York City, United States","Stabbing of Timothy Caughman: James Harris Jackson, a white supremacist, stabbed an African-American to death in New York. He revealed that he planned larger attacks against black men in New York's Times Square.[95]",White Supremecist,Terrorism in the United States
25,Shooting,1,0,"&lt;img alt=""Colombia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/23px-Flag_of_Colombia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Fortul, Arauca District, Colombia","A subcommander from the Fortul Police Station was shot dead in a sniper attack in the locality of Fortul, in the Arauca District.[96]",ELN,Colombian Conflict
25,Grenade attack,0,12,"&lt;img alt=""Pakistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/23px-Flag_of_Pakistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Lyari, Pakistan",At least 12 people were injured on Saturday evening in a grenade attack in the Lyari area of Karachi.[97][98],Unknown,
26,Grenade attack,4,23,"&lt;img alt=""Philippines"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/23px-Flag_of_the_Philippines.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""900"" data-file-height=""450""&gt; Sulu, Philippines",At least four people were killed and 23 others wounded in a grenade attack in the southern Philippines.[99],Abu Sayyaf (suspected),Moro Conflict
26,Shooting,5,2 Disappeared,"&lt;img alt=""Colombia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/23px-Flag_of_Colombia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Chocó, Colombia",At least five people were killed in an attack in the locality of San juan in Chocó Department.[100],ELN,Colombian Conflict
26,"Shooting, Ambush",6,Unknown,"&lt;img alt=""South Sudan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_South_Sudan.svg/23px-Flag_of_South_Sudan.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""1000"" data-file-height=""500""&gt; Juba, South Sudan","Six aid workers have been killed in an ambush in South Sudan, the United Nations said on Sunday, without specifying what organisation they worked for. The victims were attacked on Saturday as they travelled from the capital, Juba, to the eastern town of Pibor, according to the UN Office for the Coordination of Humanitarian Affairs (OCHA).[101]",Unknown,South Sudanese Civil War
27,"Suicide Car Bombing, Shooting",10 (+4),Unknown,"&lt;img alt=""Yemen"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Yemen.svg/23px-Flag_of_Yemen.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Lahj Governorate, Yemen",At least six security personnel and four civilians were killed in a suicide car-bomb attack and subsequent shooting in Yemen’s southern Lahj province. Al-Qaeda in the Arabian Peninsula later claimed responsibility.[102],Al-Qaeda in the Arabian Peninsula,Yemeni Civil War
27,Roadside Bombing,0,2,"&lt;img alt=""Philippines"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/23px-Flag_of_the_Philippines.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""900"" data-file-height=""450""&gt; Zamboanga, Philippines","The vice mayor of Sumisip Town, Basilan escaped unscathed, but his two security escorts were wounded in a roadside bombing perpetrated by suspected Abu Sayyaf militants.[103]",Abu Sayyaf,Moro Conflict
28,Executions,2,0,"&lt;img alt=""Egypt"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Sinai, Egypt",Two elderly men were executed for 'witchcraft' and 'apostasy' by Islamic State militants.[104],Islamic State,Sinai Insurgency
28,Shooting,3,Unknown,"&lt;img alt=""Mali"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/23px-Flag_of_Mali.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Boulikessi, Mali",Two soldiers and a civilian were killed in an attack at the border with Burkina Faso. Jama'at Nasr al-Islam wal Muslimin claimed responsibility on the first of April 2017.[105],Jama'at Nasr al-Islam wal Muslimin,Insurgency in the Maghreb
28,Roadside bombing,1,1,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Qandala, Somalia",One soldier was killed and another was injured in a roadside bombing near the town of Qandala. The attack was blamed by regional military officials on Islamic State-affiliated militants.[106],Islamic State in Somalia,War in Somalia
28,Shooting,3 (+1),Unknown,"&lt;img alt=""India"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1350"" data-file-height=""900""&gt; Chadoora, India",A militant and three civilians were killed in an encounter with the security forces in Chadoora area of Budgam district of central Kashmir today.[107],Jaish-e-Mohammed,Kashmir Conflict
28,Roadside Bombing,0,1,"&lt;img alt=""Philippines"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/23px-Flag_of_the_Philippines.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""900"" data-file-height=""450""&gt; Maguindanao, Philippines",A soldier was injured when suspected Bangsamoro Islamic Freedom Fighters (BIFF) set off a roadside bombing.[108],Bangsamoro Islamic Freedom Fighters,Moro Conflict
28,Shooting,2,3,"&lt;img alt=""Colombia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/23px-Flag_of_Colombia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Arauca, Colombia",At least two soldiers were killed and other three injured in an ambush by ELN militants.[109],ELN,Colombian Conflict
29,Assassination,3,0,"&lt;img alt=""Democratic Republic of the Congo"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/20px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png"" width=""20"" height=""15"" class=""thumbborder"" data-file-width=""800"" data-file-height=""600""&gt; Kasai province, Democratic Republic of the Congo","The bodies of two (one of the two was beheaded) UN experts and their Congolese interpreter who went missing in the Democratic Republic of Congo this month have been found, the United Nations said in a statement Tuesday.[110]",Kamwina Nsapu (suspected),Kamwina Nsapu rebellion
29,Bombing,0,0,"&lt;img alt=""Ukraine"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Lutsk, Ukraine",The Polish consulate in Lutsk was attacked with a grenade launcher.[111][112],Donetsk People's Republic (suspected),Terrorism in Europe
29,Suicide truck bombing,17,60+,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Baghdad, Iraq","A suicide truck bomber targeted a police checkpoint in southern Baghdad, killing 17 people and injuring at least 60 others.[113]",Islamic State,Iraqi Civil War
29,Bombing,5,6,"&lt;img alt=""Syria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/23px-Flag_of_Syria.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Homs, Syria","A bomb blast hit a passenger bus in the city of Homs, Syria killing five people and wounding six.[114]",Tahrir al-Sham (suspected),Syria Civil War
30,Stabbing,0,3,"&lt;img alt="""" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/23px-Flag_of_Belgium_%28civil%29.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Brussels, Belgium",One woman was critically injured and two others were seriously injured when several knife-wielding men attacked Kurds arriving at the Turkish Consulate in Brussels to cast their vote for the Turkish constitutional refererendum.[115],Turkish Nationalists (suspected),Terrorism in Europe
30,Assassination,1,0,"&lt;img alt=""Pakistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/23px-Flag_of_Pakistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Nankana, Pakistan",A prominent member of Ahmadi community was killed in an attack claimed by Lashkar-e-Jhangvi.[116],Lashkar-e-Jhangvi,War in North-West Pakistan
30,Shooting,3,3,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Kubuwa village, Nigeria","Boko Haram ambushed Dangote trucks, killing three persons, including two drivers, and injuring three others at Kubuwa village.[117]",Boko Haram,Boko Haram insurgency
30,"Shooting, suicide bombing",12 (+1),23,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Damboa, Nigeria","12 people were killed in multiple Boko Haram attacks on Wumyeduga village. 23 people were also injured in the multiple attacks, which involved the detonation of explosives by a suspected female suicide bomber at the village’s cemetery.[117]",Boko Haram,Boko Haram insurgency
31,Shooting,2,3,"&lt;img alt=""Thailand"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Thailand.svg/23px-Flag_of_Thailand.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Yala and Narathiwat, Thailand","An army ranger and a policeman were shot dead in Thailand's deep south. Separately, five gunmen opened fire at a police station in Narathiwat province, killing a policeman and wounding three others.[118]",Runda Kumpulan Kecil (suspected),South Thailand insurgency
31,Car bombing,24,70+,"&lt;img alt=""Pakistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/23px-Flag_of_Pakistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Parachinar, Pakistan",March 2017 Parachinar suicide bombing: At least 24 people have been killed and more than 70 injured in a blast outside a mosque in north-west Pakistan. Jamaat-ul-Ahrar claimed responsibility for the attack.[119],Jamaat-ul-Ahrar,Operation Ghazi
31,Bombing,0,1,"&lt;img alt=""Philippines"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/23px-Flag_of_the_Philippines.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""900"" data-file-height=""450""&gt; North Cotabato, Philippines","An improvised explosive device went off at a roadside in Midsayap, North Cotabato before dawn on Saturday wounding a pedicab driver. A minor was injured.[120]",Abu Sayyaf (suspected),Internal conflict in the Philippines
31,Car bombing,1,0,"&lt;img alt=""Ukraine"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Mariupol, Ukraine",SBU colonel was killed in a car explosion in Mariupol.[121],Donetsk People's Republic (suspected),War in Donbass
31,Shooting,1 (+3),11,"&lt;img alt=""Niger"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Flag_of_Niger.svg/18px-Flag_of_Niger.svg.png"" width=""18"" height=""15"" class=""thumbborder"" data-file-width=""700"" data-file-height=""600""&gt; Diffa, Niger",A Nigerian soldier was killed and 11 were injured in a Boko Haram attack. Three militants were also killed.[122],Boko Haram,Boko Haram insurgency in Niger
